Part Number;Req numero;Req status;Req data;qtd;Valor unitario;IGPM acumulado
DCN2-2469;SP2109371A1;Recebida no Solicitante;2002-04;2;454,00;3,51027543
DCN4-4473;RF2101010F3;Recebida no Solicitante;2002-04;70;10,34;3,51027543
DCN4-4473;RF0215085F3;Recebida no Solicitante;2000-08;10;25,00;4,08612747
DCN0-5860-2;RF0226010F3;Recebida no Solicitante;2000-08;30;1785,00;4,08612747
DCN4-10216;RF0203002F3;Recebida no Solicitante;2000-07;300;7,35;4,15027967
DCN4-1358;LSD118002T9;Recebida no Solicitante;2010-04;150;3,52;1,83467375
DCN4-1358;LS4058426T9;Recebida no Solicitante;2004-02;100;1,22;2,56796124
DCN4-4327;AFB253016A7;Recebida no Solicitante;2008-09;1000;9,30;1,87818620
DCN4-4327;LS4096475T1;Recebida no Solicitante;2004-04;100;24,30;2,52186664
DCN4-4327;AF3107599GA;Recebida no Solicitante;2003-04;50;15,80;2,64972323
DCN4-4327;LS1180010U7;Recebida no Solicitante;2001-07;40;13,20;3,73276148
DCN4-4327;LS0400638T9;Recebida no Solicitante;2000-09;1000;3,30;3,99074858
DCN4-4327;LS0400065T9;Recebida no Solicitante;2000-09;4;20,50;3,99074858
DCN4-4327;LS9099041T1;Recebida no Solicitante;1999-04;50;3,43;4,78642505
DCN2-10432;SP4125327A1;Recebida no Solicitante;2004-05;37;680,00;2,49171686
DCN2-10432;SP3083301A1;Recebida no Solicitante;2003-04;20;530,00;2,64972323
DCN2-10432;SP1342003CF;Recebida no Solicitante;2001-12;20;465,00;3,53596073
DCN3-4294;SP3105303A1;Recebida no Solicitante;2003-04;30;0,00;2,64972323
DCN4-10800;LSI056116T1;Empenho Aprovado;2015-02;30;190,80;1,35607352
DCN3-4278;LSB028528T9;Recebida no Solicitante;2008-01;100;42,00;2,03501399
DCN3-4278;LS5067050U7;Recebida no Solicitante;2005-03;250;18,00;2,28854059
DCN3-4278;LS2140046C3;Recebida no Solicitante;2002-05;70;4,50;3,49072735
DCN3-4278;LS9101444U7;Recebida no Solicitante;1999-04;562;1,00;4,78642505
DCN4-4492;RFA124047F3;Recebida no Solicitante;2007-05;210;0,40;2,16762825
DCN4-4492;RF4208026T1;Recebida no Solicitante;2004-07;100;0,23;2,42601839
DCN4-4492;LS3149146T9;Recebida no Solicitante;2003-05;600;0,24;2,62556800
DCN4-4492;RF2287040F3;Recebida no Solicitante;2002-10;700;0,32;3,19184126
DCN4-4492;RF2267049T1;Recebida no Solicitante;2002-09;60;4,20;3,26844545
DCN4-4492;RF2263056A7;Recebida no Solicitante;2002-09;24;7,50;3,26844545
DCN4-4492;LS2261018T9;Recebida no Solicitante;2002-09;1000;0,12;3,26844545
DCN4-4492;LS2108047T9;Recebida no Solicitante;2002-04;600;0,32;3,51027543
DCN4-4492;LS1235040T9;Recebida no Solicitante;2001-11;1000;0,28;3,57485630
DCN4-4492;LS1180012U7;Recebida no Solicitante;2001-07;100;0,07;3,73276148
DCN4-4492;SP1081359A1;Recebida no Solicitante;2001-03;5000;0,07;3,86127922
DCN3-8988;RF0215092F3;Recebida no Solicitante;2000-08;116;3,20;4,08612747
DCN0E-10739;GL6252002CF;Recebida no Solicitante;2006-09;5;1998,57;2,23303880
DCN4-3516;LS5067073C3;Recebida no Solicitante;2005-03;160;3,10;2,28854059
DCN4-3825;SP1095399A1;Recebida no Solicitante;2001-04;1350;1,05;3,83977647
DCN3-7557;LS4132031T9;Recebida no Solicitante;2004-05;40;297,00;2,49171686
DCN4-5066;RF2024009F3;Recebida no Solicitante;2002-01;100;39,60;3,52819869
