Part Number;Req numero;Req status;Req data;qtd;Valor unitario;IGPM acumulado
DCN3-1407;SP2192366A1;Recebida no Solicitante;2002-08;10;49,75;3,34427339
DCN3-1407;SP2109363A1;Recebida no Solicitante;2002-04;10;15,89;3,51027543
DCN3-1407;SP1095342A1;Recebida no Solicitante;2001-04;42;15,89;3,83977647
DCN4-843;RF2158019F3;Recebida no Solicitante;2002-06;20;26,34;3,46199281
DCN3-8270;LS2119755SS;Recebida no Solicitante;2002-05;500;4,50;3,49072735
DCN4-5873;SP1096324A1;Recebida no Solicitante;2001-04;1;320,00;3,83977647
DCN4-1507-2;CM9112002F3;Recebida no Solicitante;1999-04;5000;0,23;4,78642505
DCN4-4804;RFC139028F3;Recebida no Solicitante;2009-05;30;9,90;1,87330567
DCN4-4804;RF2287042F3;Recebida no Solicitante;2002-10;26;2,10;3,19184126
DCN4-10717;AF6210002CF;Recebida no Solicitante;2006-07;100;13,40;2,24533539
DCN4-4075;RF5125003R1;Recebida no Solicitante;2005-05;200;0,52;2,24990278
DCN4-4075;LS1271942T9;Recebida no Solicitante;2001-09;200;0,05;3,62825242
DCN4-4075;RF1249009F3;Recebida no Solicitante;2001-09;500;0,06;3,62825242
DCN4-4075;SP1081341A1;Recebida no Solicitante;2001-03;55;0,10;3,86127922
DCN4-4075;LS0400942T9;Recebida no Solicitante;2000-09;180;0,04;3,99074858
DCN4-4075;LS0096504T9;Recebida no Solicitante;2000-05;60;0,10;4,19853227
DCN4-2459;LSA107071U2;Recebida no Solicitante;2007-04;300;6,50;2,16849530
DCN4-2459;LS5067118T9;Recebida no Solicitante;2005-03;200;5,05;2,28854059
DCN4-2629;RF1332001F3;Recebida no Solicitante;2001-11;200;0,15;3,57485630
DCN3-10116;AF1186078H6;Recebida no Solicitante;2001-07;100;0,00;3,73276148
DCN3-10116;LS0246005CF;Recebida no Solicitante;2000-08;100;35,00;4,08612747
DCN3-10116;AF0192962H6;Recebida no Solicitante;2000-07;100;38,80;4,15027967
DCN4-5245;SP1081376A1;Recebida no Solicitante;2001-03;7;14,20;3,86127922
DCN4-5110;RFD076141R1;Recebida no Solicitante;2010-03;300;0,04;1,85191968
DCN4-5110;LSD075066U8;Recebida no Solicitante;2010-03;1000;0,04;1,85191968
DCN4-5110;LSC316120T1;Recebida no Solicitante;2009-11;2000;0,04;1,88255527
DCN4-5110;RFB295089R1;Recebida no Solicitante;2008-10;300;0,12;1,87612247
DCN4-5110;SPB227106F5;Recebida no Solicitante;2008-08;5000;44,00;1,87217600
DCN4-5110;AFB191130A7;Recebida no Solicitante;2008-07;2000;0,09;1,90512630
DCN4-5110;LSB028426T1;Recebida no Solicitante;2008-01;3600;0,09;2,03501399
DCN4-5110;LSA325005T2;Recebida no Solicitante;2007-11;1000;0,10;2,08511896
DCN4-5110;RFA124039F3;Recebida no Solicitante;2007-05;1000;17,00;2,16762825
DCN4-5110;LS5053801T1;Recebida no Solicitante;2005-02;1000;0,02;2,29540621
DCN4-5110;SP4215301F5;Recebida no Solicitante;2004-08;5000;0,06;2,39464850
DCN4-5110;LS4147183T9;Recebida no Solicitante;2004-05;800;0,06;2,49171686
DCN4-5110;LS4096477T1;Recebida no Solicitante;2004-04;6000;0,09;2,52186664
DCN4-5110;LS4058445T9;Recebida no Solicitante;2004-02;6200;0,16;2,56796124
DCN4-5110;RF2287088F3;Recebida no Solicitante;2002-10;360;0,26;3,19184126
DCN4-5110;SP1313345F5;Recebida no Solicitante;2001-11;4000;0,02;3,57485630
DCN4-5110;SP1081368A1;Recebida no Solicitante;2001-03;6000;0,02;3,86127922
DCN4-5110;RF0241009F3;Recebida no Solicitante;2000-08;16000;10,29;4,08612747
DCN4-1640;SPC308008F5;Recebida no Solicitante;2009-11;30;375,00;1,88255527
DCN4-1640;SP2081318F5;Recebida no Solicitante;2002-04;15;26,00;3,51027543
DCN4-1723;LSC075011T9;Recebida no Solicitante;2009-03;100;2,20;1,85665404
DCN4-7026;AFD132041A7;Recebida no Solicitante;2010-05;500;24,00;1,82065471
DCN4-7026;AFC308095GA;Recebida no Solicitante;2009-11;100;40,00;1,88255527
DCN4-7026;AF4317001A7;Recebida no Solicitante;2004-11;300;0,00;2,34044611
DCN4-7026;AF3126647S2;Recebida no Solicitante;2003-05;400;39,60;2,62556800
DCN4-7026;AF9093081GA;Recebida no Solicitante;1999-04;0;12,46;4,78642505
DCN4-2339;RF4208007T1;Recebida no Solicitante;2004-07;100;5,55;2,42601839
DCN4-008;LS4138017T1;Recebida no Solicitante;2004-05;100;7,95;2,49171686
DCN4-3568;LSA107078U8;Recebida no Solicitante;2007-04;305;1,43;2,16849530
DCN4-3568;LS5053339T9;Recebida no Solicitante;2005-02;100;2,87;2,29540621
DCN4-3568;SP2109320A1;Recebida no Solicitante;2002-04;100;0,18;3,51027543
DCN4-3568;AF2102643S2;Recebida no Solicitante;2002-04;50;1,90;3,51027543
DCN4-3568;RF2050006F3;Recebida no Solicitante;2002-02;500;0,46;3,51554274
DCN4-3568;BE1233006U8;Recebida no Solicitante;2001-08;100;0,25;3,67832231
DCN4-3568;AF1199028S2;Recebida no Solicitante;2001-07;36;0,00;3,73276148
DCN4-3568;SP1081328A1;Recebida no Solicitante;2001-03;60;0,16;3,86127922
DCN4-3568;AF1078918S2;Recebida no Solicitante;2001-03;36;0,18;3,86127922
DCN4-3568;LS0400217C3;Recebida no Solicitante;2000-09;10;1,20;3,99074858
DCN4-4375;RF4131046F3;Recebida no Solicitante;2004-05;5000;0,18;2,49171686
DCN4-6589;BE8226013A7;Recebida no Solicitante;1998-08;50;1,45;5,14076645
DCN3-10378;AF1272001CF;Recebida no Solicitante;2001-09;50;55,00;3,62825242
DCN4-6438;RF8247019F3;Recebida no Solicitante;1998-09;3000;0,39;5,14900486
DCN3-4103;RF4208011T1;Recebida no Solicitante;2004-07;100;14,00;2,42601839
DCN3-4103;RF2267007S2;Recebida no Solicitante;2002-09;28;14,40;3,26844545
DCN3-4103;RF2263002A3;Recebida no Solicitante;2002-09;6;10,20;3,26844545
DCN3-4103;RF2263080C3;Recebida no Solicitante;2002-09;8;10,20;3,26844545
DCN3-4103;RF1276215A3;Recebida no Solicitante;2001-10;6;4,80;3,61703960
DCN4-9613;RF2287019F3;Recebida no Solicitante;2002-10;10;11,50;3,19184126
DCN4-7472;AF2051845H2;Recebida no Solicitante;2002-02;30;0,00;3,51554274
DCN4-7472;AF1113858H2;Recebida no Solicitante;2001-04;4;28,56;3,83977647
DCN4-7472;CP8147001H2;Recebida no Solicitante;1998-05;30;45,80;5,15874099
DCN3-5262;RF0188301R1;Recebida no Solicitante;2000-07;20;10,80;4,15027967
DCN3-5262;AF9093193A7;Recebida no Solicitante;1999-04;20;11,05;4,78642505
DCN4-5319;LS5071056T1;Recebida no Solicitante;2005-03;60;57,20;2,28854059
DCN4-5319;SP4135327F5;Recebida no Solicitante;2004-05;56;57,20;2,49171686
DCN4-5319;SP2081322F5;Recebida no Solicitante;2002-04;35;78,15;3,51027543
DCN4-5319;LS9099050T1;Recebida no Solicitante;1999-04;49;28,00;4,78642505
DCN4-10587;SP4276001CF;Recebida no Solicitante;2004-09;300;2,88;2,36578591
DCN2-1330;RF2282035F3;Recebida no Solicitante;2002-10;250;90,00;3,19184126
DCN2-1330;RF0215109F3;Recebida no Solicitante;2000-08;112;398,00;4,08612747
DCN2-1330;RF8338013F3;Recebida no Solicitante;1998-12;1;43,50;5,16553787
DCN3-5549;AF9099759GP;Recebida no Solicitante;1999-04;300;0,38;4,78642505
DCN2-3757;RFA124087F3;Recebida no Solicitante;2007-05;4;548,90;2,16762825
DCN4-4532;LS5053355T9;Recebida no Solicitante;2005-02;150;10,51;2,29540621
DCN4-4532;LS2140035C3;Recebida no Solicitante;2002-05;20;41,80;3,49072735
DCN4-4532;LS2108048T9;Recebida no Solicitante;2002-04;50;17,50;3,51027543
DCN4-4532;LS1235041T9;Recebida no Solicitante;2001-11;50;17,50;3,57485630
DCN4-4532;LS1192002C3;Recebida no Solicitante;2001-07;20;10,60;3,73276148
DCN4-4532;SP1040346F5;Recebida no Solicitante;2001-03;30;8,00;3,86127922
DCN4-4532;LS0084513T9;Recebida no Solicitante;2000-04;40;14,90;4,20818890
DCN4-5081;LS4148009U8;Recebida no Solicitante;2004-05;1000;0,34;2,49171686
DCN4-5081;LS4139044U7;Recebida no Solicitante;2004-05;500;1,20;2,49171686
DCN4-5081;LS4138079T1;Recebida no Solicitante;2004-05;1000;0,34;2,49171686
DCN4-5081;LS4132073T9;Recebida no Solicitante;2004-05;3000;0,19;2,49171686
DCN4-5081;AF3107668U8;Recebida no Solicitante;2003-04;100;0,36;2,64972323
DCN4-5081;AF3107229A7;Recebida no Solicitante;2003-04;100;0,36;2,64972323
DCN4-5081;LS2108771SS;Recebida no Solicitante;2002-10;2000;0,22;3,19184126
DCN4-5081;LS2261007T9;Recebida no Solicitante;2002-09;15000;0,05;3,26844545
DCN4-5081;LS2140038C3;Recebida no Solicitante;2002-05;250;0,77;3,49072735
DCN4-5081;LS2108051T9;Recebida no Solicitante;2002-04;15000;0,05;3,51027543
DCN4-5081;LS1239007C3;Recebida no Solicitante;2001-09;400;0,20;3,62825242
DCN4-5081;LS1233152T1;Recebida no Solicitante;2001-08;2000;0,18;3,67832231
DCN4-5081;LS1176005T1;Recebida no Solicitante;2001-07;1000;1,70;3,73276148
DCN4-5081;SP1081367A1;Recebida no Solicitante;2001-03;5000;0,20;3,86127922
DCN4-5081;SP1040353F5;Recebida no Solicitante;2001-03;148;0,50;3,86127922
DCN4-5081;SP0286302A3;Recebida no Solicitante;2000-10;28;0,54;3,94498673
DCN4-5081;AF0189108A7;Recebida no Solicitante;2000-07;2000;0,17;4,15027967
DCN4-5081;SP0042361A3;Recebida no Solicitante;2000-05;1000;0,18;4,19853227
DCN4-5081;LS9286501T9;Recebida no Solicitante;1999-10;3000;0,12;4,53925548
DCN4-5260;RF2080007F3;Recebida no Solicitante;2002-03;50;21,68;3,51343468
DCN3-2725;SP7219345F2;Recebida no Solicitante;1999-08;5;120,00;4,67691385
DCN4-7030;AFD132039A7;Recebida no Solicitante;2010-05;600;22,73;1,82065471
DCN4-7030;AFC308096GA;Recebida no Solicitante;2009-11;100;23,00;1,88255527
DCN4-7030;AFA170028H2;Recebida no Solicitante;2007-06;300;25,60;2,16676154
DCN4-7030;AFA073015A7;Recebida no Solicitante;2007-03;300;25,80;2,17586818
DCN4-7030;AF3107486A7;Recebida no Solicitante;2003-04;500;32,40;2,64972323
DCN4-7030;AF2051049GA;Recebida no Solicitante;2002-02;664;0,00;3,51554274
DCN4-7030;AF1304646S2;Recebida no Solicitante;2001-11;500;24,80;3,57485630
DCN4-7030;AF1079012GA;Recebida no Solicitante;2001-03;0;24,80;3,86127922
DCN4-7030;AF9093082GA;Recebida no Solicitante;1999-04;0;15,80;4,78642505
DCN4-4376;RFC106003F3;Recebida no Solicitante;2009-04;500;0,72;1,87049571
DCN4-4376;RF2287039F3;Recebida no Solicitante;2002-10;100;1,50;3,19184126
DCN4-4376;RF0215086F3;Recebida no Solicitante;2000-08;2000;0,37;4,08612747
DCN4-2458;RFA113021R1;Recebida no Solicitante;2007-04;20;7,20;2,16849530
DCN4-2458;LS5053783T1;Recebida no Solicitante;2005-02;50;5,70;2,29540621
DCN4-2458;LS4138048T1;Recebida no Solicitante;2004-05;100;6,40;2,49171686
DCN4-3850;AF3107233A7;Recebida no Solicitante;2003-04;200;0,11;2,64972323
DCN4-3850;GL2135074A3;Recebida no Solicitante;2002-05;10;0,13;3,49072735
DCN4-3850;AF1199030A7;Recebida no Solicitante;2001-07;9;0,00;3,73276148
DCN4-3850;SP1081332A1;Recebida no Solicitante;2001-03;120;0,15;3,86127922
DCN4-3850;AF1078922A7;Recebida no Solicitante;2001-03;9;0,12;3,86127922
DCN4-5684;AF3107236A7;Recebida no Solicitante;2003-04;100;0,80;2,64972323
DCN4-6789;AF9099770GP;Recebida no Solicitante;1999-04;26;6,50;4,78642505
DCN4-1357;AFG058284A7;Recebida no Solicitante;2013-02;178;29,79;1,48980326
DCN4-1357;AFF226007A7;Recebida no Solicitante;2012-08;189;12,95;1,54120905
DCN4-1357;AFD121002A7;Recebida no Solicitante;2010-04;150;12,95;1,83467375
DCN4-1357;AF3107454A7;Recebida no Solicitante;2003-04;100;6,48;2,64972323
DCN4-1357;AF2102149A7;Recebida no Solicitante;2002-04;80;7,30;3,51027543
DCN4-1357;AF1249028A7;Recebida no Solicitante;2001-09;46;7,10;3,62825242
DCN4-1357;AF1078894A7;Recebida no Solicitante;2001-03;46;6,98;3,86127922
DCN4-1357;CP0183004CP;Recebida no Solicitante;2000-06;105;7,10;4,18555705
DCN4-1357;AF0151028A7;Recebida no Solicitante;2000-06;50;1,95;4,18555705
DCN4-1357;AF0151015A7;Recebida no Solicitante;2000-06;30;1,95;4,18555705
DCN4-1357;AF0118001A7;Recebida no Solicitante;2000-05;25;1,97;4,19853227
DCN4-1357;AF9093201A7;Recebida no Solicitante;1999-04;71;1,90;4,78642505
DCN4-9387;LSC316213U8;Recebida no Solicitante;2009-11;250;13,90;1,88255527
DCN4-9387;LS5067160U8;Recebida no Solicitante;2005-03;100;7,56;2,28854059
DCN4-8503;RF6193048R1;Recebida no Solicitante;2006-07;5000;0,22;2,24533539
DCN4-8503;LS6257132T1;Recebida no Solicitante;2006-09;5000;0,20;2,23303880
DCN4-1467;SP4135318F5;Recebida no Solicitante;2004-05;30;34,50;2,49171686
DCN4-1467;RF2129012F3;Recebida no Solicitante;2002-05;30;25,00;3,49072735
DCN4-10358;AF2051047GP;Recebida no Solicitante;2002-02;500;0,00;3,51554274
DCN4-10358;AF0316002CF;Recebida no Solicitante;2000-11;500;9,98;3,93005253
DCN3-5605;AF1222021S2;Recebida no Solicitante;2001-08;5;0,00;3,67832231
DCN3-5605;AF1078864S2;Recebida no Solicitante;2001-03;5;3,30;3,86127922
DCN3-5605;AF0404965S2;Recebida no Solicitante;2000-09;6;18,00;3,99074858
DCN3-5605;CP9111050S2;Recebida no Solicitante;1999-04;46;1,80;4,78642505
DCN3-10266;RF0203008F3;Recebida no Solicitante;2000-07;100;6,80;4,15027967
DCN4-7560;RF0132003F3;Recebida no Solicitante;2000-05;100;3,90;4,19853227
DCN3-7745;AFC131013H2;Recebida no Solicitante;2009-05;100;28,60;1,87330567
DCN3-7745;AF2051003H2;Recebida no Solicitante;2002-02;100;0,00;3,51554274
DCN3-7745;AF1078886H2;Recebida no Solicitante;2001-03;102;8,00;3,86127922
DCN4-706;AFB170004A7;Recebida no Solicitante;2008-06;20;368,00;1,94284780
DCN4-706;SP9004320A1;Recebida no Solicitante;1999-02;3;200,00;5,09956078
DCN4-4423;LS5053354T9;Recebida no Solicitante;2005-02;100;1,05;2,29540621
DCN4-4423;AF3107218A7;Recebida no Solicitante;2003-04;100;0,08;2,64972323
DCN4-4423;SP1313311F5;Recebida no Solicitante;2001-11;100;0,10;3,57485630
DCN4-4423;RF1228301R1;Recebida no Solicitante;2001-08;50;0,10;3,67832231
DCN4-4423;AF1199020A7;Recebida no Solicitante;2001-07;13;0,00;3,73276148
DCN4-4423;LS1117416C3;Recebida no Solicitante;2001-05;36;0,10;3,80175888
DCN4-4423;SP1081355A1;Recebida no Solicitante;2001-03;3;0,10;3,86127922
DCN4-4423;AF1078934A7;Recebida no Solicitante;2001-03;13;0,05;3,86127922
DCN4-10204;RF3214999R1;Recebida no Solicitante;2004-03;5000;0,18;2,55036373
DCN4-10204;CP3214003R1;Recebida no Solicitante;2003-08;5000;0,18;2,67021721
DCN4-10204;RF3214001R1;Recebida no Solicitante;2003-08;4900;0,01;2,67021721
DCN4-10204;RF3139320R1;Recebida no Solicitante;2003-05;100;0,01;2,62556800
DCN4-10458;SP2264003CF;Recebida no Solicitante;2002-09;50;12,80;3,26844545
DCN3-10374;AF1293002CF;Recebida no Solicitante;2001-10;5;4980,00;3,61703960
DCN4-2528;AFC245066A7;Recebida no Solicitante;2009-09;20;105,00;1,89140724
DCN3-5688;LS5053284T9;Recebida no Solicitante;2005-02;500;4,35;2,29540621
DCN3-5688;LS4139030U7;Recebida no Solicitante;2004-05;100;18,80;2,49171686
DCN3-5688;LS2148009U7;Recebida no Solicitante;2002-05;250;4,80;3,49072735
DCN3-5688;LS0400523U7;Recebida no Solicitante;2000-09;20;12,00;3,99074858
DCN4-5318;RF4295002F3;Recebida no Solicitante;2004-10;100;37,80;2,34957385
DCN4-7084;SPB227047F3;Recebida no Solicitante;2008-08;10;38,50;1,87217600
DCN4-7084;RF0256006F3;Recebida no Solicitante;2000-09;60;14,95;3,99074858
DCN4-9920;RFB063122T2;Recebida no Solicitante;2008-03;350;3,85;2,00245848
DCN4-603;RF5139006F3;Recebida no Solicitante;2005-05;50;45,20;2,24990278
DCN4-7548;LS5122009U8;Recebida no Solicitante;2005-05;100;3,20;2,24990278
DCN4-5842;LS5071063T1;Recebida no Solicitante;2005-03;100;6,26;2,28854059
DCN4-5842;LS4138125T1;Recebida no Solicitante;2004-05;100;0,52;2,49171686
DCN4-5842;SP1081390A1;Recebida no Solicitante;2001-05;720;0,30;3,80175888
DCN4-5842;LS9099054T1;Recebida no Solicitante;1999-04;30;0,36;4,78642505
DCN4-7037;AFF038307GA;Recebida no Solicitante;2012-02;200;8,00;1,60762759
DCN4-7037;AFD132033A7;Recebida no Solicitante;2010-05;120;7,20;1,82065471
DCN4-7037;AFC308093GA;Recebida no Solicitante;2009-11;10;6,80;1,88255527
DCN4-7037;AF3107595GA;Recebida no Solicitante;2003-04;5;14,50;2,64972323
DCN4-7037;AF9093021GA;Recebida no Solicitante;1999-04;0;3,20;4,78642505
DCN3-6658;LSD075163T1;Recebida no Solicitante;2010-03;50;60,00;1,85191968
DCN4-1610-3;SPC308011F5;Recebida no Solicitante;2009-11;30;244,00;1,88255527
DCN4-1610-3;SP2081315F5;Recebida no Solicitante;2002-04;15;19,89;3,51027543
DCN4-3563;SP1081326A1;Recebida no Solicitante;2001-03;500;0,16;3,86127922
DCN2-10351;SP1083001CF;Recebida no Solicitante;2001-03;20;1185,00;3,86127922
DCN3-10471;SP2264010CF;Recebida no Solicitante;2002-09;50;18,00;3,26844545
DCN4-6367;RF2024006F3;Recebida no Solicitante;2002-01;300;2,40;3,52819869
DCN3-2041;AF1295035S2;Recebida no Solicitante;2001-10;35;0,00;3,61703960
DCN3-4438;RF2260022A5;Recebida no Solicitante;2002-09;20;165,00;3,26844545
DCN4-4929;SP1096313A1;Recebida no Solicitante;2001-04;150;249,90;3,83977647
DCN4-8085;RF9232010F3;Recebida no Solicitante;1999-08;200;1,50;4,67691385
DCN4-8085;RF9098009F3;Recebida no Solicitante;1999-04;30;2,60;4,78642505
DCN4-5679;LSB311314SS;Recebida no Solicitante;2008-11;100;32,00;1,85791490
DCN4-5679;LSA107082U8;Recebida no Solicitante;2007-04;31;28,26;2,16849530
DCN4-5679;LS2108772SS;Recebida no Solicitante;2002-10;500;19,95;3,19184126
DCN3-7816;RF2116003F3;Recebida no Solicitante;2002-04;50;26,10;3,51027543
DCN4-9494;AF1295020GP;Recebida no Solicitante;2001-10;13;0,00;3,61703960
DCN4-9494;AF1079047GP;Recebida no Solicitante;2001-03;2;8,00;3,86127922
DCN4-2366;GL8224022A3;Recebida no Solicitante;1998-08;100;39,87;5,14076645
DCN4-5438;LSB028431T1;Recebida no Solicitante;2008-01;200;3,20;2,03501399
DCN4-5438;SP1096317A1;Recebida no Solicitante;2001-04;2000;0,49;3,83977647
DCN4-4364;RF6193051R1;Recebida no Solicitante;2006-07;130;1,80;2,24533539
DCN4-4364;SP1040341F5;Recebida no Solicitante;2001-03;137;0,09;3,86127922
DCN3-5929;SP1075375A1;Recebida no Solicitante;2001-05;18;8,32;3,80175888
DCN3-5929;SP0042348A1;Recebida no Solicitante;2000-05;100;2,72;4,19853227
DCN4-9339;RFB083051F7;Recebida no Solicitante;2008-03;100;3,20;2,00245848
DCN4-9339;LSA102001T1;Recebida no Solicitante;2007-04;100;0,76;2,16849530
DCN4-9339;RF9350001F3;Recebida no Solicitante;1999-12;300;0,05;4,35919333
DCN4-9339;RF9098053F3;Recebida no Solicitante;1999-04;50;0,12;4,78642505
DCN4-4315;LSB028423T1;Recebida no Solicitante;2008-01;150;28,45;2,03501399
DCN4-5342;LS4138083T1;Recebida no Solicitante;2004-05;1000;0,33;2,49171686
DCN4-5342;SP1081378A1;Recebida no Solicitante;2001-03;480;0,48;3,86127922
DCN4-5342;LS9099051T1;Recebida no Solicitante;1999-04;700;0,40;4,78642505
DCN4-8005;LS4058459T9;Recebida no Solicitante;2004-02;200;0,05;2,56796124
DCN4-10075;LS0246002CF;Recebida no Solicitante;2000-08;100;0,20;4,08612747
DCN1-8602-7;LSK194001A7;Recebida na Comissão;2017-07;100;365,00;1,17624471
DCN1-8602-7;AF3290461A2;Recebida no Solicitante;2003-10;50;178,75;2,62908559
DCN1-8602-7;AF3149026A7;Recebida no Solicitante;2003-05;100;178,75;2,62556800
DCN1-8602-7;AF1278021A7;Recebida no Solicitante;2001-11;1;270,00;3,57485630
DCN1-8602-7;AF0108068A7;Recebida no Solicitante;2000-05;15;180,00;4,19853227
DCN3-425;LSC105021U8;Recebida no Solicitante;2009-04;1300;2,94;1,87049571
DCN3-425;LSA107077U8;Recebida no Solicitante;2007-04;600;2,55;2,16849530
DCN3-425;AF3107674U8;Recebida no Solicitante;2003-04;500;2,70;2,64972323
DCN3-425;BE1171001U8;Recebida no Solicitante;2001-06;200;1,80;3,76934254
DCN3-425;SP1095350A1;Recebida no Solicitante;2001-04;2959;0,65;3,83977647
DCN4-5880;RFB268044A6;Recebida no Solicitante;2008-09;12;82,00;1,87818620
DCN4-5880;AF4141488A7;Recebida no Solicitante;2004-05;200;14,85;2,49171686
DCN4-5880;RF3119707A6;Recebida no Solicitante;2003-04;100;12,80;2,64972323
DCN4-5880;AF2242164A7;Recebida no Solicitante;2002-08;100;14,50;3,34427339
DCN4-5880;RF2224006A5;Recebida no Solicitante;2002-08;100;25,17;3,34427339
DCN4-5880;SP1081391A1;Recebida no Solicitante;2001-03;14;6,30;3,86127922
DCN4-5880;SP9004318A1;Recebida no Solicitante;1999-02;50;4,50;5,09956078
DCN4-5880;CP8120002DP;Recebida no Solicitante;1998-04;700;3,40;5,16544735
DCN3-6651;LS5053290T9;Recebida no Solicitante;2005-02;50;3,28;2,29540621
DCN3-6651;CP9111052S2;Recebida no Solicitante;1999-04;332;1,93;4,78642505
DCN4-9281;RF2261010A5;Recebida no Solicitante;2002-09;10;45,00;3,26844545
DCN3-10473;SP2264006CF;Recebida no Solicitante;2002-09;50;18,50;3,26844545
DCN1-1906;LS1281598T9;Recebida no Solicitante;2001-10;142;21,00;3,61703960
DCN4-2124;SP1075315A1;Recebida no Solicitante;2001-05;1000;0,05;3,80175888
DCN4-7050;AFE115017GA;Recebida no Solicitante;2011-04;100;66,99;1,65363667
DCN4-7050;AFD308004GA;Recebida no Solicitante;2010-11;50;111,60;1,73022116
DCN4-7050;AF3107661S2;Recebida no Solicitante;2003-04;4;105,00;2,64972323
DCN4-7050;AF2051048GA;Recebida no Solicitante;2002-02;19;0,00;3,51554274
DCN4-7050;AF1079015GA;Recebida no Solicitante;2001-03;19;152,00;3,86127922
DCN4-1624;SPC247011F5;Recebida no Solicitante;2009-09;27;28,89;1,89140724
DCN3-5229;RF5144050F3;Recebida no Solicitante;2005-05;200;5,04;2,24990278
DCN3-5229;RF4131019F3;Recebida no Solicitante;2004-05;800;7,70;2,49171686
DCN3-5229;SP8224302F2;Recebida no Solicitante;1998-08;5000;1,15;5,14076645
DCN4-2274;RF5174014F3;Recebida no Solicitante;2005-06;150;14,70;2,25486348
DCN4-5229;RF5144025F3;Recebida no Solicitante;2005-05;2000;5,04;2,24990278
DCN4-5229;AF3158845H2;Recebida no Solicitante;2003-06;70;19,40;2,63241228
DCN3-9731;AF3107612GP;Recebida no Solicitante;2003-05;4;87,50;2,62556800
DCN3-9731;AF2242411GP;Recebida no Solicitante;2002-08;4;75,80;3,34427339
DCN4-10287;SP0196309A1;Recebida no Solicitante;2000-07;50;115,00;4,15027967
DCN3-7444;AF9099761GP;Recebida no Solicitante;1999-04;1;75,00;4,78642505
DCN3-6587-3;LSK213007A7;Expedida;2017-08;65;980,00;1,18477509
DCN3-6587-3;AFB115002A7;Recebida no Solicitante;2008-04;30;160,00;1,98774913
DCN3-6587-3;AF3107417A7;Recebida no Solicitante;2003-04;5;129,20;2,64972323
DCN3-6587-3;AF2051030A7;Recebida no Solicitante;2002-02;20;0,00;3,51554274
DCN3-6587-3;AF1078994A7;Recebida no Solicitante;2001-03;40;77,18;3,86127922
DCN3-6587-3;AF0404783A7;Recebida no Solicitante;2000-09;20;40,00;3,99074858
DCN3-6587-3;AF9099337A7;Recebida no Solicitante;1999-04;24;65,00;4,78642505
DCN4-9519;LSJ026017T9;Empenho Aprovado;2016-01;10;56,00;1,23604722
DCN4-9519;LSH055005T9;Recebida no Solicitante;2014-02;44;25,24;1,40982537
DCN4-9519;LSF096010T9;Recebida no Solicitante;2012-04;31;18,00;1,60170541
DCN4-9519;LSE196010T9;Recebida no Solicitante;2011-07;30;20,00;1,64213601
DCN4-9519;LSD075149T9;Recebida no Solicitante;2010-03;40;15,00;1,85191968
DCN4-9519;LS5067140T9;Recebida no Solicitante;2005-03;100;7,00;2,28854059
DCN4-9519;LS4058463T9;Recebida no Solicitante;2004-02;15;30,60;2,56796124
DCN4-7058;AFC232017A7;Recebida no Solicitante;2009-08;200;6,30;1,88459817
DCN4-7058;AF3107588GA;Recebida no Solicitante;2003-05;50;5,60;2,62556800
DCN4-7058;BR2163029R1;Recebida no Solicitante;2002-06;5;13,80;3,46199281
DCN4-3498;SP2192354A1;Recebida no Solicitante;2002-08;20;2,20;3,34427339
DCN4-3498;SP1095395A1;Recebida no Solicitante;2001-04;551;1,70;3,83977647
DCN3-10239;RF0203010F3;Recebida no Solicitante;2000-07;200;0,59;4,15027967
DCN4-9487;RF0215040F3;Recebida no Solicitante;2000-08;100;1,17;4,08612747
DCN3-8880;RF9130016F3;Recebida no Solicitante;1999-05;100;25,90;4,75268101
DCN3-4123;GL8224015A3;Recebida no Solicitante;1998-08;100;9,75;5,14076645
DCN4-9473;LS6117022SS;Recebida no Solicitante;2006-04;150;34,40;2,26123443
DCN4-9473;LS1278757SS;Recebida no Solicitante;2001-10;100;24,22;3,61703960
DCN3-3751;LS4132017T9;Recebida no Solicitante;2004-05;30;3,15;2,49171686
DCN3-3751;LS0082513T9;Recebida no Solicitante;2000-04;30;11,95;4,20818890
DCN3-10298;LS4096448T1;Recebida no Solicitante;2004-04;50;168,50;2,52186664
DCN3-10298;LS0246001CF;Recebida no Solicitante;2000-08;10;220,00;4,08612747
DCN2-10396U;LSH154006T1;Expedida;2014-06;5;750,00;1,37251122
DCN2-10396U;LSF319109T1;Recebida no Solicitante;2012-11;5;214,00;1,50458219
DCN3-6227;LS2148010U7;Recebida no Solicitante;2002-05;30;2,50;3,49072735
DCN4-7634;RF2129048F3;Recebida no Solicitante;2002-05;100;1,80;3,49072735
DCN4-6902;AF1295029A7;Recebida no Solicitante;2001-10;19;0,00;3,61703960
DCN4-6902;AF1079005A7;Recebida no Solicitante;2001-03;19;1,20;3,86127922
DCN4-6902;AF0404792A7;Recebida no Solicitante;2000-09;10;4,85;3,99074858
DCN4-6264;RF1191004F3;Recebida no Solicitante;2001-07;1700;1,29;3,73276148
DCN4-6264;RF1088001F3;Recebida no Solicitante;2001-03;200;1,29;3,86127922
DCN4-3854;SP1081333A1;Recebida no Solicitante;2001-05;60;1,50;3,80175888
DCN4-8606;SP1082336A1;Recebida no Solicitante;2001-04;720;0,96;3,83977647
